PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
62,9/21/2023,33:18.3,20,1,"Adams, Zane",1000111359,Left,ALA_CRI,"Mueller, Jake",1000276602,Right,ALA_CRI1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.26394,-1.435911,0.801169,1805.527049,175.118598,11:45,6.79465,-0.38867,6.03319,-17.46336,16.65367,-1.32925,4.00924,0.24253,82.45624,-4.755348,0.561946,0.420394,,,,,,,,,,,,0.90929,9.30638,0.32679,50,6.67295,-1.7777,-131.11121,-3.79965,1.58112,27.99238,-15.99164,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,7b360210-58c6-11ee-b66d-2b55a1776162,89.6597,,,7.80771,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,9/21/2023,33:18.3,2023-09-21T16:33:18.3178322-05:00,2023-09-21T21:33:18.3178322Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,07b52aae-44bb-4785-802d-ea365e21cf84,54.4667,-132.06141,13.99619,6.79272,-3.25682,-7.99582,0.38805,-1.83137,0.79056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
66,9/21/2023,34:34.3,20,5,"Adams, Zane",1000111359,Left,ALA_CRI,"Mueller, Jake",1000276602,Right,ALA_CRI1,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.33351,-3.917415,0.755431,2010.497712,167.296868,11:30,6.73844,-0.35853,5.94098,-13.2369,20.8545,-4.46433,1.99534,-0.02974,83.13199,-6.44543,-0.04659,0.420236,,,,,,,,,,,,2.48465,12.04229,0.3008,50,6.41805,-1.53886,-131.02136,-9.32515,4.34626,26.05136,-11.10922,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,a87b3600-58c6-11ee-b66d-2b55a1776162,89.69343,,,7.20152,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,9/21/2023,34:34.3,2023-09-21T16:34:34.2689874-05:00,2023-09-21T21:34:34.2689874Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,e6d205ef-e3ca-4d56-afc1-1201d815381b,54.55965,-131.92485,13.02568,6.73478,-8.93988,-5.55461,0.35678,-1.68959,2.17313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
76,9/21/2023,03:01.9,24,3,"Heiberger, Matthew",1000136122,Left,ALA_CRI,"Mueller, Jake",1000276602,Right,ALA_CRI1,Undefined,1,Top,0,3,0,Splitter,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,75.2257,2.227413,0.561987,1089.316562,318.979608,4:45,6.00393,-2.37351,5.62994,-59.42267,-8.46252,9.01961,3.13157,-1.09748,67.76987,-8.675383,2.174844,0.513791,,,,,,,,,,,,-4.3089,-4.32961,2.32005,50,6.15675,-1.41903,-108.97656,2.29196,-5.06194,23.27654,-37.26034,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,a261caa0-58ca-11ee-b66d-2b55a1776162,73.36141,,,7.45583,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,9/21/2023,03:01.9,2023-09-21T17:03:01.9367506-05:00,2023-09-21T22:03:01.9367506Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,5b447525-15a9-484a-a747-4dcb2d9d05eb,54.86921,-110.01167,11.63827,6.01799,3.94893,-18.63017,2.37815,-1.19393,-2.53097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
78,9/21/2023,03:59.7,25,2,"Heiberger, Matthew",1000136122,Left,ALA_CRI,"Hamiter, William",1000078159,Left,ALA_CRI1,Undefined,1,Top,0,1,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,75.66421,0.136136,1.889498,2249.743991,314.616005,4:30,6.11656,-2.36626,5.62686,-51.91916,-2.65961,4.2241,1.91706,-0.25044,69.8696,-9.323858,2.644919,0.505146,,,,,,,,,,,,-1.61331,-0.9015,2.20247,50,6.0949,-3.78139,-109.88486,-1.40076,-1.97233,19.49353,-33.27615,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,c4cecf70-58ca-11ee-b66d-2b55a1776162,74.61699,,,5.79462,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,9/21/2023,03:59.7,2023-09-21T17:03:59.7085778-05:00,2023-09-21T22:03:59.7085778Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,b9a24952-82e2-4132-a826-1c5287d8da54,54.87518,-110.74634,9.74677,6.12431,0.06981,-16.63807,2.36765,-3.69422,-0.98616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
79,9/21/2023,04:13.7,25,3,"Heiberger, Matthew",1000136122,Left,ALA_CRI,"Hamiter, William",1000078159,Left,ALA_CRI1,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.71574,-1.808967,4.225806,2210.277585,308.335706,4:15,6.00634,-2.33247,5.69642,-49.18463,-0.86488,3.06815,0.21664,1.86852,70.74683,-10.735376,4.773502,0.500304,,,,,,,,,,,,-0.31417,0.5374,1.97494,50,5.82318,-8.31818,-111.06319,-5.07188,-0.38993,21.07104,-31.50705,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,cd27a6b0-58ca-11ee-b66d-2b55a1776162,75.33909,,,5.96891,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,9/21/2023,04:13.7,2023-09-21T17:04:13.7310290-05:00,2023-09-21T22:04:13.7310290Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,4e4fb70f-7192-437f-afa4-bc77152fa117,54.80537,-111.97116,10.53552,6.01247,-3.71421,-15.75353,2.33301,-8.30137,-0.19497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
80,9/21/2023,04:30.4,25,4,"Heiberger, Matthew",1000136122,Left,ALA_CRI,"Hamiter, William",1000078159,Left,ALA_CRI1,Undefined,1,Top,0,2,1,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,74.56816,0.468976,2.255452,2232.306535,307.229037,4:15,6.0884,-2.4529,5.50986,-53.62058,-2.69512,5.57666,2.05894,0.12217,68.92062,-9.276955,3.249803,0.513616,64.5865,-44.710767,60.752416,,,,,4.06127,4.02767,25.856693,0.032221,-2.21858,-1.11213,2.25207,50,6.09277,-4.46476,-108.27551,-0.81089,-2.63456,18.8514,-33.49469,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,d7166030-58ca-11ee-b66d-2b55a1776162,73.38636,2.15531,,5.64754,,,,2.59095,2.15531,-0.12842,f3a66377-0827-4158-95b6-b6be51435c2f,9/21/2023,04:30.4,2023-09-21T17:04:30.3798354-05:00,2023-09-21T22:04:30.3798354Z,GroundBall,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,08ce5abb-114f-41cd-8820-643a7fd8af11,54.99372,-109.14148,9.4257,6.09468,0.72775,-16.74734,2.45439,-4.34374,-1.31728,180,2.59032,33.01388,,,,,,,,2.15659,-66.8917,,,,,,,,-0.12955,58.95636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
81,9/21/2023,04:48.0,25,5,"Heiberger, Matthew",1000136122,Left,ALA_CRI,"Hamiter, William",1000078159,Left,ALA_CRI1,Undefined,1,Top,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,75.09674,-0.117931,2.292097,2202.562671,275.679584,3:15,6.0255,-2.41144,5.67072,-48.56081,1.1437,3.12536,1.86872,-0.01275,69.63525,-8.975505,2.850981,0.507422,,,,,,,,,,,,-0.98347,1.09295,2.21582,50,5.98496,-4.47977,-109.07568,-1.74203,-1.19133,18.19604,-30.85006,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,e1943a50-58ca-11ee-b66d-2b55a1776162,74.28223,,,5.46148,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,9/21/2023,04:48.0,2023-09-21T17:04:48.0115794-05:00,2023-09-21T22:04:48.0115794Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,5a19c22b-e6c3-4df1-9d45-327a2ffdc588,54.83087,-109.87861,9.09802,6.03179,-0.38072,-15.42503,2.41234,-4.4272,-0.59567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
87,9/21/2023,13:53.4,27,4,"Baker, Jackson",1000276601,Right,ALA_CRI,"Bailey, Walt",1000188499,Right,ALA_CRI1,Undefined,1,Top,0,1,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,83.33057,1.264525,-1.408132,2510.031095,80.226888,8:45,4.95961,2.56967,5.75741,-40.67742,-0.05756,-7.93646,2.74747,0.59725,76.03699,-6.225984,-2.828596,0.458713,,,,,,,,,,,,3.60622,0.03429,-2.44811,50,5.04004,3.29765,-120.9516,1.27277,5.31457,24.72876,-32.1235,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,269fe5d0-58cc-11ee-b66d-2b55a1776162,82.17007,,,7.29358,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,9/21/2023,13:53.4,2023-09-21T17:13:53.3859922-05:00,2023-09-21T22:13:53.3859922Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,894f5bdd-26c0-47db-82db-4ca93abfaf09,54.74273,-121.91741,12.36438,4.96583,2.52738,-16.06175,-2.57285,3.09008,2.65729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
91,9/21/2023,15:13.6,28,4,"Baker, Jackson",1000276601,Right,ALA_CRI,"Mueller, Jake",1000276602,Right,ALA_CRI1,Undefined,1,Top,0,1,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,83.73822,1.59837,-1.514158,2720.350274,91.973985,9:00,4.903,2.54323,5.91501,-38.35766,1.41579,-5.86075,3.1909,0.6492,76.72485,-5.487059,-2.565768,0.453908,,,,,,,,,,,,2.5715,0.68409,-2.41855,50,5.00953,3.44907,-121.61498,2.11214,3.85419,23.67855,-31.1487,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,567169f0-58cc-11ee-b66d-2b55a1776162,83.03981,,,7.01337,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,9/21/2023,15:13.6,2023-09-21T17:15:13.6030802-05:00,2023-09-21T22:15:13.6030802Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,49fd9ec1-99b2-4aa3-9d76-dc03d5f079f4,54.58568,-122.50457,11.83928,4.9082,3.28237,-15.57435,-2.54541,3.30427,1.92709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
92,9/21/2023,15:46.0,29,1,"Baker, Jackson",1000276601,Right,ALA_CRI,"Hamiter, William",1000078159,Left,ALA_CRI1,Undefined,1,Top,0,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Undefined,0,0,,82.54678,0.772757,-2.230996,2685.645531,94.798623,9:15,4.89163,2.53728,5.74935,-39.16293,2.13835,-10.19512,2.34808,-0.39043,75.66636,-6.430416,-4.053334,0.462544,73.64153,-30.718993,51.115945,,,,,5.65593,3.18295,37.441716,0.043579,4.58296,1.23083,-2.34546,50,4.93184,5.06832,-119.83484,0.31024,6.64841,23.67097,-30.38853,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,69c51380-58cc-11ee-b66d-2b55a1776162,81.48938,2.41199,,6.88042,,,,1.94251,2.41199,0.2788,f3a66377-0827-4158-95b6-b6be51435c2f,9/21/2023,15:46.0,2023-09-21T17:15:46.0345938-05:00,2023-09-21T22:15:46.0345938Z,GroundBall,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,fb55a4fd-84d0-4362-8158-5c7daad46e5f,54.75255,-120.76997,11.83549,4.89587,1.51074,-15.19426,-2.54049,4.80568,3.32421,,1.94122,58.47169,,,,,,,,2.41321,-55.34746,,,,,,,,0.2772,72.50604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
93,9/21/2023,16:21.5,30,1,"Baker, Jackson",1000276601,Right,ALA_CRI,"Haeger, Evan",1000112200,Left,ALA_CRI1,Undefined,1,Top,0,0,0,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,83.02591,0.226312,-2.171538,2794.675068,78.235127,8:30,4.93406,2.57542,5.84938,-42.29916,-1.44587,-13.26442,1.61959,-0.54884,75.96381,-7.543193,-4.548692,0.460029,72.88252,-50.590432,164.236796,,,,,2.15212,3.50467,22.116414,0.022743,6.18615,-0.47547,-2.3907,50,4.9275,5.08311,-120.53475,-0.93516,9.02706,25.20316,-32.86789,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,7eee8e80-58cc-11ee-b66d-2b55a1776162,81.93499,1.88313,,7.0621,,,,3.48292,1.88313,0.3899,f3a66377-0827-4158-95b6-b6be51435c2f,9/21/2023,16:21.5,2023-09-21T17:16:21.5478866-05:00,2023-09-21T22:16:21.5478866Z,GroundBall,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,e873465f-1bdc-4c1f-ba09-ae28b8411ab5,54.65332,-121.50384,12.60158,4.93916,0.32865,-16.43395,-2.57948,4.73601,4.51353,,3.48353,-65.478,,,,,,,,1.8839,-82.80102,,,,,,,,0.38972,18.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
99,9/21/2023,19:07.3,32,1,"Baker, Jackson",1000276601,Right,ALA_CRI,"Mueller, Jake",1000276602,Right,ALA_CRI1,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Undefined,0,0,,83.34068,1.241825,-0.609468,2674.958454,88.179083,9:00,4.97509,2.55407,5.78568,-39.1749,0.96532,-6.55788,2.86612,1.44053,76.73909,-5.963297,-1.784436,0.455996,75.60849,-5.051851,3.018799,,,,,22.80691,21.80366,-0.099491,0.206367,3.1978,0.50299,-2.49977,50,5.05368,1.54687,-121.14437,1.30247,4.776,22.56132,-31.4228,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,e1c08f90-58cc-11ee-b66d-2b55a1776162,82.65956,2.74844,,6.60158,,,,0.59017,2.74844,-1.41819,f3a66377-0827-4158-95b6-b6be51435c2f,9/21/2023,19:07.3,2023-09-21T17:19:07.3382482-05:00,2023-09-21T22:19:07.3382482Z,GroundBall,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,2ef8dbc5-0527-4a1b-b2dd-56183a5cc6b5,54.71686,-122.01965,11.28066,4.97951,2.52155,-15.7114,-2.55619,1.36158,2.388,297.470024,0.59071,110.27318,-12.7062,,,,,,,2.74906,-9.80425,-17.05643,,,,,,,-1.41855,5.84062,4.08543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
